     \KB    original compressed ratio | ’n’  | n ratio|	‘r’  | r ratio|	‘m’   | m ratio| gzip |g ratio
all.tar		3031  |	1847 |	1.64  |	1792 |	1.69  |	1178 |  2.57  |	1820  |	1.67   | 969  | 3.13
assig2.doc	87    |	75   |	1.16  |	40   |	2.18  |	40   |	2.18  |	40    |	2.18   | 23   | 3.78
bmps.tar	1106  |	925  |	1.20  |	81   |	13.65 |	81   |	13.65 |	81    |	13.65  | 64   | 17.28
code2.txt	58    |	24   |	2.42  |	21   |	2.76  |	21   |	2.76  |	21    |	2.76   | 13   | 4.46
code.txt	72    |	31   |	2.32  |	25   |	2.88  |	25   |	2.88  |	25    |	2.88   | 15   | 4.80
edit.exe	236   |	251  |	0.94  |	156  |	1.51  |	152  |	1.55  |	156   |	1.51   | 127  | 1.86
frosty.jpg	127   |	177  |	0.72  |	164  | 	0.77  |	171  |	0.74  |	164   |	0.77   | 127  | 1.00
gone_fishing.bmp17.3  |	9.3  |	1.86  |	9.0  |	1.92  |	9.0  |	1.92  |	9.0   |	1.92   | 8.7  | 1.99
large.txt	1221  |	605  |	2.02  |	502  |	2.43  |	528  |	2.31  |	502   |	2.43   | 493  | 2.48
Lego-big.gif	93    |	129  |	0.72  |	122  |	0.76  |	122  |	0.76  |	122   |	0.76   | 92   | 1.01
medium.txt	25.4  |	13.2 |	1.92  |	12.5 |	2.03  |	12.5 |	2.03  |	12.5  |	2.03   | 10.8 | 2.35
texts.tar	1382  |	1012 |	1.37  |	598  |	2.31  |	590  |	2.34  |	598   |	2.31   | 533  | 2.59
wacky.bmp	922   |	4.3  |	214.4 |	4.0  |	230.5 |	4.0  |	230.5 |	4.0   |	230.5  | 2.9  | 317.93
winnt256.bmp	157   |	159  |	0.99  |	63   |	2.49  |	63   |	2.49  |	63    |	2.49   | 50   | 3.14
